CVEGEO,CVE_ENT,CVE_MUN,CVE_LOC,CVE_AGEB,CVE_MZA,AMBITO,TIPOMZA,acceso_bomberos_km,intersecciones_km2,densidad_vial,tipo_vial_pct,poblacion_total,densidad_pob,viviendas,riesgo_base,ocurrio_incendio,ia_probabilidad_incendio,riesgo_pob_vial,aislamiento_tactico,total_incendios
0803700017555060,8,37,1,7555,60,Urbana,Típica,1.06,0.0,30.64,0.0,0.0,0.0,6,ALTO,0,0.679131212331096,0.0,0.03458401305057096,0
0803700017555061,8,37,1,7555,61,Urbana,Típica,1.16,0.0,0.0,0.0,0.0,0.0,0,BAJO,0,0.9048955951141902,0.0,115.99999999999999,0
0803700017555062,8,37,1,7555,62,Urbana,Típica,1.14,0.0,0.0,0.0,0.0,0.0,2,BAJO,0,0.9048955951141902,0.0,113.99999999999999,0
0803700017555063,8,37,1,7555,63,Urbana,Típica,1.09,0.0,57.38,0.0,0.0,0.0,2,MEDIO,0,0.7145134229034146,0.0,0.018992855898240114,0
0803700017555064,8,37,1,7555,64,Urbana,Típica,1.07,0.0,28.8,0.0,0.0,0.0,2,BAJO,0,0.685773003375872,0.0,0.03713988198542173,0
080370001756A011,8,37,1,756A,11,Urbana,Típica,2.11,0.0,7.96,0.0,0.0,0.0,88,BAJO,0,0.6622512814678423,0.0,0.2647427854454203,0
080370001756A077,8,37,1,756A,77,Urbana,Típica,2.13,0.0,0.0,0.0,100.0,100.0,48,BAJO,0,0.3367301599502647,0.0,212.99999999999997,0
080370001756A115,8,37,1,756A,115,Urbana,Típica,1.99,0.0,0.0,0.0,0.0,0.0,16,BAJO,0,0.8584315940986028,0.0,199.0,0
080370001756A116,8,37,1,756A,116,Urbana,Típica,1.99,0.0,0.0,0.0,0.0,0.0,11,BAJO,0,0.8584315940986028,0.0,199.0,0
080370001756A117,8,37,1,756A,117,Urbana,Típica,2.15,0.0,12.53,0.0,0.0,0.0,8,BAJO,0,0.6662691386106995,0.0,0.171451355661882,0
080370001756A118,8,37,1,756A,118,Urbana,Típica,2.19,0.0,53.18,0.0,0.0,0.0,10,MEDIO,0,0.6499487635997231,0.0,0.04117315284827975,0
080370001756A119,8,37,1,756A,119,Urbana,Típica,2.03,0.0,173.76,0.0,0.0,0.0,1,BAJO,0,0.6964116687343962,0.0,0.011682108534269436,0
0803700017589125,8,37,1,7589,125,Urbana,Típica,4.23,0.0,62.99,0.0,0.0,0.0,4,MEDIO,0,0.42416009030317964,0.0,0.06714285714285714,0
0803700017589126,8,37,1,7589,126,Urbana,Típica,4.21,0.0,0.0,0.0,0.0,0.0,11,MEDIO,0,0.2618069176930174,0.0,421.0,0
0803700017659040,8,37,1,7659,40,Urbana,Típica,5.96,0.0,0.94,0.0,0.0,0.0,160,MEDIO,0,0.42008596792393293,0.0,6.273684210526316,0
0803700017818041,8,37,1,7818,41,Urbana,Típica,8.4,0.0,54.02,0.0,233.0,233.0,29,ALTO,0,0.12453538031071837,12586.66,0.15546918378678512,0
0803700017818042,8,37,1,7818,42,Urbana,Típica,8.41,0.0,59.17,0.0,155.0,155.0,6,MEDIO,0,0.19296787637626686,9171.35,0.14210882054748225,0
0803700017818043,8,37,1,7818,43,Urbana,Típica,8.42,0.0,61.81,0.0,0.0,0.0,7,MEDIO,0,0.33775293642789955,0.0,0.13620187641539955,0
0803700017856001,8,37,1,7856,1,Urbana,Típica,1.93,0.0,0.0,0.0,0.0,0.0,77,MEDIO,0,0.8559596839862432,0.0,193.0,0
0803700018233050,8,37,1,8233,50,Urbana,Típica,7.29,0.0,0.0,0.0,16.0,16.0,12,MEDIO,0,0.23118584262107242,0.0,729.0,0
0803700018233075,8,37,1,8233,75,Urbana,Típica,7.96,0.0,24.17,0.0,0.0,0.0,14,MEDIO,0,0.31531365068942757,0.0,0.32919768403639366,0
0803700010079001,8,37,1,0079,1,Urbana,Típica,7.42,0.0,0.0,0.0,0.0,0.0,2,ALTO,0,0.18483065405352397,0.0,742.0,0
0803700018233078,8,37,1,8233,78,Urbana,Típica,7.48,0.0,0.0,0.0,9.0,9.0,3,MEDIO,0,0.2404145858168327,0.0,748.0,0
0803700010079003,8,37,1,0079,3,Urbana,Típica,7.35,0.0,0.0,0.0,0.0,0.0,6,ALTO,0,0.18483065405352397,0.0,735.0,0
0803700010079004,8,37,1,0079,4,Urbana,Típica,7.39,0.0,0.0,0.0,0.0,0.0,7,MEDIO,0,0.18483065405352397,0.0,739.0,0
0803700010079002,8,37,1,0079,2,Urbana,Típica,7.47,0.0,0.0,0.0,0.0,0.0,7,ALTO,0,0.18483065405352397,0.0,747.0,0
0803700018248003,8,37,1,8248,3,Urbana,Típica,8.77,0.0,1.39,0.0,0.0,0.0,13,ALTO,0,0.34945511832043186,0.0,6.264285714285714,0
0803700018248017,8,37,1,8248,17,Urbana,Típica,8.66,0.0,0.0,0.0,0.0,0.0,12,ALTO,0,0.14548998717238062,0.0,866.0,0
0803700018248040,8,37,1,8248,40,Urbana,Típica,8.8,0.0,0.0,0.0,0.0,0.0,4,MEDIO,0,0.14548998717238062,0.0,880.0,0
